Name,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,
002 Rose Pink,65.319,67.66,70.203,70.237,68.656,67.995,69.09,71.375,72.28,70.346,67.129,64.158,61.828,59.934,57.164,53.286,48.724,44.414,40.181,35.624,30.526,25.299,20.803,17.912,16.361,15.661,14.806,12.912,10.096,7.259,5.338,4.549,4.976,6.905,11.19,19.139,30.271,43.566,56.491,66.954,74.607,80.101,83.818,86.374,87.97,88.928,89.215,89.448,89.357,89.488,89.587,89.574,89.584,89.707,89.867,89.73,89.941,90.094,89.852,89.906,,
003 Lavender Tint,81.601,81.76,82.307,82.379,82.218,82.716,84.006,84.54,82.784,81.731,82.482,84.523,84.832,82.922,80.627,80.215,81.62,83.236,82.934,80.113,77.555,76.214,76.673,77.636,77.972,76.451,74.293,71.753,70.152,69.756,69.805,69.758,69.792,69.546,69.598,70.169,71.327,73.113,75.45,77.51,78.691,78.896,78.388,77.623,77.341,77.44,78.804,80.876,82.99,85.001,86.759,87.78,88.516,88.75,89.373,89.564,90.109,90.401,90.643,90.84,,
004 Medium Bastard Amber,48.606,47.409,46.137,44.439,43.078,42.737,42.812,42.768,42.321,42.569,43.995,46.059,47.423,48.033,48.529,49.459,50.668,51.001,49.87,47.84,46.476,45.512,45.636,46.054,46.803,47.595,48.477,49.424,50.839,52.107,53.147,54.155,56.07,59.89,66.077,72.543,77.696,81.665,84.846,87.204,88.728,89.135,89.215,89.176,88.95,89.144,89.677,90.107,90.247,90.377,90.586,90.18,90.046,89.968,89.844,89.908,90.145,90.413,90.475,90.228,,
007 Pale Yellow,52.54,49.37,48.125,46.353,44.637,44.144,44.657,45.844,47.695,50.488,53.472,56.957,61.36,67.801,74.19,77.766,78.639,79.652,82.078,84.791,85.431,83.581,81.914,82.309,84.662,86.433,86.795,84.706,82.939,82.845,84.691,86.871,88.805,89.044,88.52,87.735,87.526,87.654,88.573,88.915,88.782,88.48,88.177,88.218,88.668,88.802,88.957,88.584,87.996,87.701,87.755,88.261,89.172,90.584,92.05,92.749,92.882,92.506,91.568,90.703,,
008 Dark Salmon,16.769,16.965,17.287,17.291,17.005,16.655,16.078,15.198,14.055,12.843,11.57,10.315,9.219,8.329,7.566,6.923,6.453,6.22,6.242,6.489,6.84,7.232,7.651,8.287,9.34,10.994,13.145,15.56,18.04,20.839,23.952,27.254,30.869,35.495,41.451,47.864,53.89,60.605,68.051,74.914,79.797,82.57,83.048,83.249,84.045,85.173,86.87,88.063,88.962,89.041,88.516,87.727,87.195,87.089,87.526,88.081,88.979,89.822,90.132,90.401,,
009 Pale Amber Gold,40.915,39.845,39.21,39.182,39.36,38.93,37.821,36.93,36.437,36.462,37.144,38.287,39.684,41.533,43.558,45.685,48.135,51.044,53.901,56.081,57.512,58.275,59.025,60.181,61.96,64.048,65.731,66.275,66.27,66.312,66.395,67.715,70.401,74.288,78.677,82.263,84.173,84.587,84.925,85.102,85.782,86.998,88.386,89.449,90.068,89.655,89.066,87.856,86.952,86.67,86.629,87.047,87.696,88.965,89.756,90.434,90.763,90.942,90.751,90.589,,
010 Medium Yellow,0.013,0.01,0.01,0.011,0.01,0.01,0.01,0.01,0.013,0.015,0.022,0.046,0.15,0.732,3.554,12.475,29.092,48.004,64.175,73.945,77.984,79.753,82.685,86.481,88.849,88.722,87.489,86.281,87.193,89.324,91.079,90.979,89.85,88.326,87.264,87.464,88.578,90.119,91.048,91.114,90.47,89.505,88.763,88.837,89.501,90.126,91.148,91.44,91.239,90.838,90.436,89.969,89.751,89.672,89.889,89.756,89.661,89.857,89.767,89.653,,
013 Straw Tint,30.205,29.182,28.404,28.543,29.314,29.672,29.185,28.53,28.368,28.988,30.115,31.184,32.026,32.973,34.577,36.933,40.057,43.229,45.795,47.285,48.75,50.603,53.339,57.047,60.662,63.036,63.879,63.558,64.099,66.848,71.455,76.556,80.919,83.642,85.237,85.718,85.704,85.795,86.044,86.187,86.432,86.647,86.536,86.539,86.7,86.663,86.733,87.241,87.761,88.555,89.056,89.5,89.774,89.782,89.516,88.923,88.9,89.064,89.183,89.505,,
015 Deep Straw,0.041,0.018,0.013,0.01,0.01,0.01,0.01,0.01,0.012,0.018,0.03,0.066,0.173,0.51,1.415,3.151,5.464,7.634,9.611,11.815,14.486,17.198,19.479,21.456,24.258,29.142,36.895,46.747,56.697,65.683,73.738,80.178,83.601,83.933,82.624,82.365,83.811,86.124,87.768,87.759,86.43,84.745,84.082,85.149,87.398,89.4,90.555,90.226,88.838,87.565,86.927,87.225,88.457,90.108,91.509,91.841,91.202,90.031,88.814,87.818,,
